公司|企业服务|上海|2015.5|Pre-A轮
SICAO新潮|本地生活|广东|2005.12|天使轮
我登网|企业服务|北京|2016.5|尚未获投
美信金服|金融|四川|2010.2|尚未获投
旁边游|旅游|北京|2015.11|尚未获投
极车公社|汽车交通|北京|2015.1|战略投资
纠纠直播|文化娱乐|北京|2015.5|尚未获投
车服天下|工具软件|山东|2014.11|尚未获投
kidbox纷趣科技|教育|上海|2015.8|天使轮
方纬科技|汽车交通|广东|2003.2|已被收购
公司|企业服务|北京|2005.10|新三板
这儿有卡|企业服务|北京|2016.1|天使轮
天闻角川|文化娱乐|广东|2010.4|已被收购
iStaging|工具软件|台湾|2015.9|Pre-A轮
CARFAM车加科技|汽车交通|北京|2015.7|Pre-A轮
复爵教育|教育|上海|2010.6|尚未获投
风行全球送|电子商务|上海|2012.12|尚未获投
高登世德|企业服务|贵州|2015.7|Pre-A轮
三生源传媒|文化娱乐|广东|2013.9|战略投资
mamahome旅家网络|房产服务|上海|2014.12|A轮
公司|电子商务|河北|2010.10|尚未获投
超人修|本地生活|浙江|2015.7|种子轮
捣电玩吧|游戏|安徽|2015.10|尚未获投
泉源堂|医疗健康|四川|2012.9|已上市
兔丫|文化娱乐|广东|2016.9|尚未获投
药团网-紫竹叶|医疗健康|四川|2015.1|已被收购
蒲江科伦|医疗健康|四川|2011.1|已被收购
众友健康|医疗健康|甘肃|2010.12|战略投资
彼岸春天|文化娱乐|北京|2006.6|已被收购
润金文化|文化娱乐|上海|2009.7|已被收购
公司|广告营销|海南|2015.12|已被收购
iu爱邮|电子商务|辽宁|2015.4|天使轮
棉花兔|电子商务|四川|2016.3|尚未获投
人人租赁|汽车交通|上海|2015.8|已上市
买萌模卡|工具软件|广东|2015.6|尚未获投
新道科技|教育|海南|2011.4|B轮
美信生活|金融|北京|2016.4|不明确
GoFit|体育运动|江苏|2015.9|种子轮
蜂电科技|硬件|上海|2013.10|A轮
随心瑜|体育运动|北京|2015.5|A轮
公司|硬件|广东|2015.4|天使轮
颐约养老服务平台|本地生活|广东|2015.4|尚未获投
新节奏|教育|广东|2013.1|Pre-A轮
小水滴课堂|教育|广东|2000.11|A轮
云势|企业服务|北京|2015.10|Pre-A轮
叮咚直聘|企业服务|浙江|2015.2|天使轮
乙宏娱乐|文化娱乐|上海|2015.11|天使轮
REnextop|体育运动|上海|2016.1|Pre-A轮
AnyTeamIn都来云|企业服务|福建|2009.10|尚未获投
小小包麻麻|电子商务|北京|2014.4|A轮
